title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Soil Inoculation with Bacillus spp. Modifies Root Endophytic Bacterial Diversity, Evenness, and Community Composition in a Context-Specific Manner","Kiran R. Gadhave,    Paul F. Devlin,    Andreas Ebertz,    Arabella Ross…",2018,https://link.springer.com/article/10.1007/s00248-018-1160-x,https://link.springer.com/content/pdf/10.1007%2Fs00248-018-1160-x.pdf,,,1,4,https://doi.org/10.1007/s00248-018-1160-x
Collective Information Extraction with Context-Specific Consistencies,"Peter Kluegl,    Martin Toepfer…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33460-3_52,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33460-3_52.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33460-3_52
"Automatic, context-specific generation of Gene Ontology slims","Melissa J Davis,    Muhammad Shoaib B Sehgal,    Mark A Ragan",2010,https://link.springer.com/article/10.1186/1471-2105-11-498,https://link.springer.com/content/pdf/10.1186%2F1471-2105-11-498.pdf,,,1,23,https://doi.org/10.1186/1471-2105-11-498
Deregulation upon DNA damage revealed by joint analysis of context-specific perturbation data,"Ewa Szczurek,    Florian Markowetz,    Irit Gat-Viks,    Przemysław Biecek…",2011,https://link.springer.com/article/10.1186/1471-2105-12-249,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-249.pdf,,,1,No cite count available,https://doi.org/10.1186/1471-2105-12-249
Multidimensional context modeling applied to non-functional analysis of software,"Luca Berardinelli,    Marco Bernardo,    Vittorio Cortellessa…",2017,https://link.springer.com/article/10.1007/s10270-017-0645-2,https://link.springer.com/content/pdf/10.1007%2Fs10270-017-0645-2.pdf,,,1,1,https://doi.org/10.1007/s10270-017-0645-2
Construction and Execution of Adaptable Applications Using an Aspect-Oriented and Model Driven Approach,"Sten A. Lundesgaard,    Arnor Solberg…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_6,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_6.pdf,,,1,13,https://doi.org/10.1007/978-3-540-72883-2_6
An approach towards adaptive service composition in markets of composed services,"Alexander Jungmann,    Felix Mohr",2015,https://link.springer.com/article/10.1186/s13174-015-0022-8,https://link.springer.com/content/pdf/10.1186%2Fs13174-015-0022-8.pdf,,,1,5,https://doi.org/10.1186/s13174-015-0022-8
A multi-tissue type genome-scale metabolic network for analysis of whole-body systems physiology,"Aarash Bordbar,    Adam M Feist,    Renata Usaite-Black,    Joseph Woodcock…",2011,https://link.springer.com/article/10.1186/1752-0509-5-180,https://link.springer.com/content/pdf/10.1186%2F1752-0509-5-180.pdf,,,1,85,https://doi.org/10.1186/1752-0509-5-180
Specifying Reusable Controllers for Software Components,"José M. Troya,    Antonio Vallecillo",1999,https://link.springer.com/chapter/10.1007/978-0-387-35562-7_11,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35562-7_11.pdf,,,1,1,https://doi.org/10.1007/978-0-387-35562-7_11
Integrated metabolic modelling reveals cell-type specific epigenetic control points of the macrophage metabolic network,"Maria Pires Pacheco,    Elisabeth John,    Tony Kaoma,    Merja Heinäniemi…",2015,https://link.springer.com/article/10.1186/s12864-015-1984-4,https://link.springer.com/content/pdf/10.1186%2Fs12864-015-1984-4.pdf,,,1,5,https://doi.org/10.1186/s12864-015-1984-4
Towards Context-Aware Web Applications,"Po-Hao Chang,    Gul Agha",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_18,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_18.pdf,,,1,4,https://doi.org/10.1007/978-3-540-72883-2_18
Pacific biosciences sequencing technology for genotyping and variation discovery in human data,"Mauricio O Carneiro,    Carsten Russ,    Michael G Ross,    Stacey B Gabriel…",2012,https://link.springer.com/article/10.1186/1471-2164-13-375,https://link.springer.com/content/pdf/10.1186%2F1471-2164-13-375.pdf,,,1,116,https://doi.org/10.1186/1471-2164-13-375
Composition-Effects of Context-based Learning Opportunities on Students’ Understanding of Energy,"Sören Podschuweit,    Sascha Bernholt",2018,https://link.springer.com/article/10.1007/s11165-016-9585-z,https://link.springer.com/content/pdf/10.1007%2Fs11165-016-9585-z.pdf,,,1,3,https://doi.org/10.1007/s11165-016-9585-z
Conceptual Versus Referential Affordance in Concept Composition,"Louise McNally,    Gemma Boleda",2017,https://link.springer.com/chapter/10.1007/978-3-319-45977-6_10,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45977-6_10.pdf,,,1,1,https://doi.org/10.1007/978-3-319-45977-6_10
Meeting abstracts from the 4th International Clinical Trials Methodology Conference (ICTMC) and the 38th Annual Meeting of the Society for Clinical Trials,No author available,2017,https://link.springer.com/article/10.1186/s13063-017-1902-y,https://link.springer.com/content/pdf/10.1186%2Fs13063-017-1902-y.pdf,,,1,2,https://doi.org/10.1186/s13063-017-1902-y
A Delphi Approach to Develop Sustainable Food System Metrics,"Thomas Allen,    Paolo Prosperi,    Bruce Cogill,    Martine Padilla…",2019,https://link.springer.com/article/10.1007/s11205-018-1865-8,https://link.springer.com/content/pdf/10.1007%2Fs11205-018-1865-8.pdf,,,1,1,https://doi.org/10.1007/s11205-018-1865-8
Reconstruction of genome-scale metabolic models for 126 human tissues using mCADRE,"Yuliang Wang,    James A Eddy,    Nathan D Price",2012,https://link.springer.com/article/10.1186/1752-0509-6-153,https://link.springer.com/content/pdf/10.1186%2F1752-0509-6-153.pdf,,,1,107,https://doi.org/10.1186/1752-0509-6-153
How Does the Left Anterior Temporal Lobe Contribute to Conceptual Combination? Interdisciplinary Perspectives,"Masha Westerlund,    Liina Pylkkänen",2017,https://link.springer.com/chapter/10.1007/978-3-319-45977-6_11,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45977-6_11.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-45977-6_11
Ontology-Based Composition and Matching for Dynamic Service Coordination,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_49,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_49.pdf,,,1,1,https://doi.org/10.1007/978-3-642-22056-2_49
Contextualising Media Choice Using Genre Analysis,Dr. Kai Riemer…,2009,https://link.springer.com/article/10.1007/s12599-008-0015-2,https://link.springer.com/content/pdf/10.1007%2Fs12599-008-0015-2.pdf,,,1,1,https://doi.org/10.1007/s12599-008-0015-2
