title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Multidimensional context modeling applied to non-functional analysis of software,"Luca Berardinelli,    Marco Bernardo,    Vittorio Cortellessa…",2017,https://link.springer.com/article/10.1007/s10270-017-0645-2,https://link.springer.com/content/pdf/10.1007%2Fs10270-017-0645-2.pdf,,,1,2,https://doi.org/10.1007/s10270-017-0645-2
Specifying Reusable Controllers for Software Components,"José M. Troya,    Antonio Vallecillo",1999,https://link.springer.com/chapter/10.1007/978-0-387-35562-7_11,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35562-7_11.pdf,,,1,1,https://doi.org/10.1007/978-0-387-35562-7_11
An approach towards adaptive service composition in markets of composed services,"Alexander Jungmann,    Felix Mohr",2015,https://link.springer.com/article/10.1186/s13174-015-0022-8,https://link.springer.com/content/pdf/10.1186%2Fs13174-015-0022-8.pdf,,,1,5,https://doi.org/10.1186/s13174-015-0022-8
Construction and Execution of Adaptable Applications Using an Aspect-Oriented and Model Driven Approach,"Sten A. Lundesgaard,    Arnor Solberg…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_6,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_6.pdf,,,1,13,https://doi.org/10.1007/978-3-540-72883-2_6
Ontology-Based Composition and Matching for Dynamic Service Coordination,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_49,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_49.pdf,,,1,1,https://doi.org/10.1007/978-3-642-22056-2_49
Conceptualizing Virtual Collaborative Work,"Michael A. D’Eredita,    Michael S. Nilan",2007,https://link.springer.com/chapter/10.1007/978-0-387-73025-7_4,https://link.springer.com/content/pdf/10.1007%2F978-0-387-73025-7_4.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-73025-7_4
Trust as a facilitator in cloud computing: a survey,"Sheikh Mahbub Habib,    Sascha Hauke…",2012,https://link.springer.com/article/10.1186/2192-113X-1-19,https://link.springer.com/content/pdf/10.1186%2F2192-113X-1-19.pdf,,,1,38,https://doi.org/10.1186/2192-113X-1-19
Applications of Multi-Agent Systems,Mihaela Oprea,2004,https://link.springer.com/chapter/10.1007/1-4020-8159-6_9,https://link.springer.com/content/pdf/10.1007%2F1-4020-8159-6_9.pdf,,,1,1,https://doi.org/10.1007/1-4020-8159-6_9
Behavlets: a method for practical player modelling using psychology-based player traits and domain specific features,"Benjamin Cowley,    Darryl Charles",2016,https://link.springer.com/article/10.1007/s11257-016-9170-1,https://link.springer.com/content/pdf/10.1007%2Fs11257-016-9170-1.pdf,,,1,10,https://doi.org/10.1007/s11257-016-9170-1
Towards In-Network Clouds in Future Internet,"Alex Galis,    Stuart Clayman,    Laurent Lefevre,    Andreas Fischer…",2011,https://link.springer.com/chapter/10.1007/978-3-642-20898-0_2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20898-0_2.pdf,,,1,2,https://doi.org/10.1007/978-3-642-20898-0_2
IoT Reference Model,"Martin Bauer,    Nicola Bui,    Jourik De Loof,    Carsten Magerkurth…",2013,https://link.springer.com/chapter/10.1007/978-3-642-40403-0_7,https://link.springer.com/content/pdf/10.1007%2F978-3-642-40403-0_7.pdf,,,1,14,https://doi.org/10.1007/978-3-642-40403-0_7
Challenges to multiteam system leadership: an analysis of leadership during the management of railway disruptions,Danny Schipper,2017,https://link.springer.com/article/10.1007/s10111-017-0415-5,https://link.springer.com/content/pdf/10.1007%2Fs10111-017-0415-5.pdf,,,1,3,https://doi.org/10.1007/s10111-017-0415-5
Towards an Agile Approach to Adapting Dynamic Collaboration Support to Student Needs,"David Adamson,    Gregory Dyke,    Hyeju Jang…",2014,https://link.springer.com/article/10.1007/s40593-013-0012-6,https://link.springer.com/content/pdf/10.1007%2Fs40593-013-0012-6.pdf,,,1,17,https://doi.org/10.1007/s40593-013-0012-6
On the Design of Interworking Reference Points for Information Networking,"Tim Eckardt,    Christian Egelhaaf,    Peter Schoo",1999,https://link.springer.com/chapter/10.1007/978-0-387-35565-8_7,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35565-8_7.pdf,,,1,1,https://doi.org/10.1007/978-0-387-35565-8_7
Towards a Dynamically Reconfigurable Automotive Control System Architecture,"Richard Anthony,    Achim Rettberg,    Dejiu Chen…",2007,https://link.springer.com/chapter/10.1007/978-0-387-72258-0_7,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72258-0_7.pdf,,,1,10,https://doi.org/10.1007/978-0-387-72258-0_7
Achieving Coordination through Dynamic Construction of Open Workflows,"Louis Thomas,    Justin Wilson,    Gruia-Catalin Roman,    Christopher Gill",2009,https://link.springer.com/chapter/10.1007/978-3-642-10445-9_14,https://link.springer.com/content/pdf/10.1007%2F978-3-642-10445-9_14.pdf,,,1,6,https://doi.org/10.1007/978-3-642-10445-9_14
Modelling Business Relationships in a Non-Centralised Systems Environment,"I. G. Macdonald,    R. A. Veryard",1995,https://link.springer.com/chapter/10.1007/978-0-387-34871-1_9,https://link.springer.com/content/pdf/10.1007%2F978-0-387-34871-1_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-34871-1_9
Group Dynamics in a Security Risk Management Team Context: A Teaching Case Study,"Rostyslav Barabanov,    Stewart Kowalski",2010,https://link.springer.com/chapter/10.1007/978-3-642-15257-3_4,https://link.springer.com/content/pdf/10.1007%2F978-3-642-15257-3_4.pdf,,,1,1,https://doi.org/10.1007/978-3-642-15257-3_4
MyStoryPlayer: experiencing multiple audiovisual content for education and training,"Pierfrancesco Bellini,    Paolo Nesi,    Marco Serena",2015,https://link.springer.com/article/10.1007/s11042-014-2052-9,https://link.springer.com/content/pdf/10.1007%2Fs11042-014-2052-9.pdf,,,1,3,https://doi.org/10.1007/s11042-014-2052-9
Conceptual Situation Spaces for Semantic Situation-Driven Processes,"Stefan Dietze,    Alessio Gugliotta…",2008,https://link.springer.com/chapter/10.1007/978-3-540-68234-9_44,https://link.springer.com/content/pdf/10.1007%2F978-3-540-68234-9_44.pdf,,,1,8,https://doi.org/10.1007/978-3-540-68234-9_44
A Service Composition Construct to Support Iterative Development,"Roy Grønmo,    Michael C. Jaeger…",2007,https://link.springer.com/chapter/10.1007/978-3-540-71289-3_19,https://link.springer.com/content/pdf/10.1007%2F978-3-540-71289-3_19.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-540-71289-3_19
"
TCP − Compose
 ⋆  – A TCP-Net Based Algorithm for Efficient Composition of Web Services Using Qualitative Preferences","Ganesh Ram Santhanam,    Samik Basu,    Vasant Honavar",2008,https://link.springer.com/chapter/10.1007/978-3-540-89652-4_34,https://link.springer.com/content/pdf/10.1007%2F978-3-540-89652-4_34.pdf,,,1,6,https://doi.org/10.1007/978-3-540-89652-4_34
A Coordination Space Architecture for Service Collaboration and Cooperation,"Claus Pahl,    Veronica Gacitua-Decar…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_39,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_39.pdf,,,1,2,https://doi.org/10.1007/978-3-642-22056-2_39
